Periodo,Acceso_x_100_hogares,ADSL,Cablemodem,Fibra Ã³ptica,Wireless,Otros,Mbps (Media de bajada),Ingresos (miles de pesos)
2014-T1,49.55,4,2,150,71,73,362.0,3
2014-T2,49.86,4,2,149,72,72,376.0,3
2014-T3,50.67,4,3,155,85,70,387.0,3
2014-T4,50.5,4,3,150,77,72,416.0,4
2015-T1,51.36,4,3,168,79,66,435.0,5
2015-T2,51.76,4,3,151,82,59,455.0,5
2015-T3,52.46,4,3,163,85,59,479.0,5
2015-T4,52.63,4,3,139,86,59,499.0,5
2016-T1,51.85,4,3,164,85,59,508.0,6
2016-T2,53.34,4,3,168,85,59,542.0,7
2016-T3,53.73,4,3,170,81,54,594.0,7
2016-T4,53.94,4,3,178,85,55,634.0,7
2017-T1,54.16,4,3,180,85,56,662.0,9
2017-T2,54.9,4,3,181,86,56,716.0,10
2017-T3,56.9,4,4,194,106,132,834.0,10
2017-T4,57.78,4,4,211,156,101,1.201,11
2018-T1,58.82,4,4,217,165,99,1.322,13
2018-T2,59.16,4,4,226,194,95,1.385,14
2018-T3,60.69,4,4,247,246,94,1.536,15
2018-T4,61.42,3,4,388,264,178,1.595,17
2019-T1,62.48,3,4,637,276,166,1.738,20
2019-T2,64.53,3,5,761,308,265,2.033,21
2019-T3,65.79,3,5,852,338,264,2.418,22
2019-T4,62.92,2,5,941,340,213,2.826,24
2020-T1,62.86,2,5,1,352,209,3.752,30
2020-T2,64.21,2,5,1,377,247,3.832,32
2020-T3,66.31,2,5,1,413,249,4.067,32
2020-T4,67.62,2,5,1,422,253,4.236,34
2021-T1,67.95,2,5,1,435,250,4.311,37
2021-T2,69.24,2,6,1,477,254,4.563,38
2021-T3,70.58,2,6,2,492,250,4.846,43
2021-T4,73.18,2,6,2,523,253,5.234,45
2022-T1,73.88,2,6,2,546,252,5.511,55
2022-T2,75.97,1,6,3,556,232,5.844,60
2022-T3,76.64,1,6,3,557,235,6.246,64
2022-T4,77.21,1,6,3,573,222,10.656,72
